School Name,School ID,Public flag,School Type,SAU,SAU ID,County,Location,Mailing Street,Mailing City,Mailing Zip,Phone,Grade Low,Grade High,Contact,Contact Email
Arthur R. Gould Sch--LCYDC,1070,Public,State Operated,Arthur R. Gould Sch--LCYDC,1069,Cumberland,South Portland,675 Westbrook Street,South Portland,04106,(207) 822-2660,7,12,Catherine Curry,catherine.curry@maine.gov
Asa C Adams School,339,Public,Public,RSU 26,1465,Penobscot,Orono,6 Goodridge Drive,Orono,04473,(207) 866-2151,PK,5,Kerri Wyman,kwyman@rsu26.org
Ash Point Community School,2013,Public,Public,RSU 13,1452,Knox,Owls Head,54 Ash Point Drive,Owls Head,04854,(207) 596-6620,PK,5,Benjamin Tripp,bripp@rsu13.org
Ashland District School,725,Public,Public,RSU 32/MSAD 32,722,Aroostook,Ashland,PO Box 369,Ashland,04732,(207) 435-3481,PK,12,JOEL HALL,jhall@sad32.org
Athens Community School,906,Public,Public,Athens Public Schools,1629,Somerset,Athens,8 Fox Hill Road,Athens,04912,(207) 654-2561,PK,8,KEVIN JORDAN,kjordan@aos94.org
Auburn Middle School,25,Public,Public,Auburn Public Schools,14,Androscoggin,Auburn,38 Falcon Drive,Auburn,04210,(207) 333-6655,7,8,Benjamin Wilson,bwilson@auburnschl.edu
Bangor High School,52,Public,Public,Bangor Public Schools,42,Penobscot,Bangor,885 Broadway,Bangor,04401,(207) 992-5500,9,12,Paul Butler,pbutler@bangorschools.net
Bath Middle School,59,Public,Public,RSU 01 - LKRSU,1438,Sagadahoc,Bath,6 Old Brunswick Road,Bath,04530,(207) 443-8270,6,8,Brandon Ward,bward@rsu1.org
Bath Regional Career & Technical,61,Public,Technology Center,RSU 01 - LKRSU,1438,Sagadahoc,Bath,826 Shipbuilder Drive,Bath,04530,(207) 443-8257,9,12,PATRICK MANUEL,pmanuel@rsu1.org
Baxter Academy for Tech & Sciences,1648,Public,Charter,Baxter Academy for Technology and Science,1630,Cumberland,Portland,185 Lancaster Street,Portland,04101,(207) 699-5500,9,12,Cicy Po,cicy.po@baxter-academy.org
Bay Ridge Elementary,997,Public,Public,Cutler Public Schools,1411,Washington,Cutler,PO Box 240,Cutler,04626,(207) 259-3347,PK,8,Amy Watson,amywatson@bayridegeschool.org
Beals Elementary School,63,Public,Public,Beals Public Schools,62,Washington,Beals,PO Box 220,Beals,04611,(207) 497-5449,PK,8,CHRISTOPHER CROWLEY,chris.crowley@union103.org
Beech Hill School,346,Public,Public,Otis Public Schools,345,Hancock,Otis,105 Otis Road,Otis,04605,(207) 537-2203,PK,8,Nichole Pothier,npothier@beechhillschool.org
Belfast Area High School,735,Public,Public,RSU 71,1733,Waldo,Belfast,25 Lions Way,Belfast,04915,(207) 338-1790,9,12,Jeffrey Lovejoy,jlovejoy@rsu71.org
Belgrade Central School,807,Public,Public,RSU 18,1457,Kennebec,Belgrade,158 Depot Road,Belgrade,04917,(207) 495-2321,PK,5,Dillon Clark,dclark@rsu18.org
Benton Elementary School,828,Public,Public,RSU 49/MSAD 49,826,Kennebec,Benton,68 School Drive,Benton,04901,(207) 453-4240,1,6,BRIAN WEDGE,bwedge@msad49.org
Biddeford High School,66,Public,Public,Biddeford Public Schools,65,York,Biddeford,20 Maplewood Ave,Biddeford,04005,(207) 282-1596,8,12,Martha Jacques,mjacques@biddefordschools.me
Biddeford Intermediate School,71,Public,Public,Biddeford Public Schools,65,York,Biddeford,335 Hill Street,Biddeford,04005,(207) 282-5957,3,4,Lindsey Nadeau,lnadeau@biddefordschools.me
Biddeford Middle School,68,Public,Public,Biddeford Public Schools,65,York,Biddeford,25 Tiger Drive,Biddeford,04005,(207) 282-6400,5,7,Scott Descoteaux,sdescoteaux@biddefordschools.me
Biddeford Primary School,69,Public,Public,Biddeford Public Schools,65,York,Biddeford,320 Hill Street,Biddeford,04005,(207) 282-8285,1,2,Margaret Pitts,mpitts@biddefordschools.me
Biddeford Regional Ctr of Tech,70,Public,Technology Center,Biddeford Public Schools,65,York,Biddeford,10 Maplewood Ave,Biddeford,04005,(207) 282-1501,9,12,Jeremy Ray,jray@biddefordschools.me
Bloomfield Elementary School,869,Public,Public,RSU 54/MSAD 54,860,Somerset,Skowhegan,140 Academy Circle,Skowhegan,04976,(207) 474-6221,1,3,DEIDRE MITCHELL,dmitchell@msad54.org
Blue Hill Consolidated School,73,Public,Public,Blue Hill Public Schools,72,Hancock,Blue Hill,60 High Street,Blue Hill,04614,(207) 374-2202,PK,8,Daniel Ormsby,dormsby@bhcs.org
Blue Point School,432,Public,Public,Scarborough Public Schools,427,Cumberland,Scarborough,174 Pine Point Road,Scarborough,04074,(207) 730-5300,KG,2,KELLY MULLEN-MARTIN,kmartin@scarboroughschools.org
Bonny Eagle High School,597,Public,Public,RSU 06/MSAD 06,587,Cumberland,Standish,700 Saco Road,Standish,04084,(207) 929-3840,9,12,Theodore Finn,tfinn@bonnyeagle.org
Bonny Eagle Middle School,592,Public,Public,RSU 06/MSAD 06,587,York,Buxton,92 Sokokis Trail,Buxton,04093,(207) 929-3833,6,8,JAMES HAND,jhand@bonnyeagle.org
Boothbay Region Elem School,1033,Public,Public,Boothbay-Boothbay Hbr CSD,1031,Lincoln,Boothbay Harbor,238 Townsend Avenue,Boothbay Harbor,04538,(207) 633-5097,PK,8,Shawna Kurr,skurr@aos98schools.org
Boothbay Region High School,1032,Public,Public,Boothbay-Boothbay Hbr CSD,1031,Lincoln,Boothbay Harbor,236 Townsend Avenue,Boothbay Harbor,04538,(207) 633-2421,9,12,TRICIA CAMPBELL,tcampbell@aos98schools.org
Bowdoin Central School,986,Public,Public,RSU 75/MSAD 75,984,Sagadahoc,Bowdoin,1460 Main Street,Bowdoin,04287,(207) 666-5779,PK,5,Ryan Keith,keithr@link75.org
Bowdoinham Community School,987,Public,Public,RSU 75/MSAD 75,984,Sagadahoc,Bowdoinham,23 Cemetery Road,Bowdoinham,04008,(207) 666-5546,KG,5,Christopher Lajoie,lajoiec@link75.org
Brewer Community School,85,Public,Public,Brewer Public Schools,78,Penobscot,Brewer,92 Pendleton Street,Brewer,04412,(207) 404-5700,PK,8,Jason Richards,jrichards@breweredu.org
Brewer High School,84,Public,Public,Brewer Public Schools,78,Penobscot,Brewer,79 Parkway South,Brewer,04412,(207) 989-4140,9,12,Brent Slowikowski,bslowikowski@breweredu.org
Bristol Consolidated School,89,Public,Public,Bristol Public Schools,88,Lincoln,Pemaquid,767 Main St. Suite 2,Damariscotta,04543,(207) 677-2678,PK,8,JENNIFER RIBEIRO,jribeiro@aos93.org
Brooklin School,91,Public,Public,Brooklin Public Schools,90,Hancock,Brooklin,PO Box 120,Brooklin,04616,(207) 359-2133,PK,8,Jill Blake,jblake@brooklinschool.org
Brooksville Elementary School,93,Public,Public,Brooksville Public Schools,92,Hancock,Brooksville,1527 Coastal Road,Brooksville,04617,(207) 326-8500,PK,8,Cammie Fowler,cfowler@brooksvilleschool.org
Brownfield Denmark Elementary School,971,Public,Public,RSU 72/MSAD 72,969,Oxford,Denmark,637 West Main Street,Denmark,04022,(207) 452-2360,KG,4,Jay Robinson,jay.robinson@msad72.org
Brownville Elementary School,1959,Public,Public,RSU 41/MSAD 41,774,Piscataquis,Brownville,774 Main Road,Brownville,04414,(207) 965-8184,3,4,CAROL SMITH,csmith@msad41.us
Bruce M Whittier Middle School,363,Public,Public,RSU 16,1456,Androscoggin,Poland,1457 Maine Street,Poland,04274,(207) 998-3462,7,8,Shawn Vincent,svincent@rsu16.org
Brunswick High School,100,Public,Public,Brunswick Public Schools,94,Cumberland,Brunswick,71 Dragons Drive,Brunswick,04011,(207) 319-1910,9,12,Troy Henninger,thenninger@brunswicksd.org
Brunswick Jr High School,99,Public,Public,Brunswick Public Schools,94,Cumberland,Brunswick,65 Columbia Avenue,Brunswick,04011,(207) 319-1930,6,8,Laurie Catanese,lcatanese@brunswicksd.org
Buckfield Jr-Sr High School,763,Public,Public,RSU 10,1450,Oxford,Buckfield,160 Morrill Street,Buckfield,04220,(207) 336-2151,7,12,Troy Eastman,teastman@rsu10.org
Bucksport High School,105,Public,Public,RSU 25,1464,Hancock,Bucksport,102 Broadway,Bucksport,04416,(207) 469-6650,9,12,Joshua Tripp,josh.tripp@rsu25.org
Bucksport Middle School,107,Public,Public,RSU 25,1464,Hancock,Bucksport,100 Miles Lane,Bucksport,04416,(207) 469-6647,5,8,AARON WARD,AARON.WARD@RSU25.ORG
Burchard A Dunn School,640,Public,Public,RSU 15/MSAD 15,635,Cumberland,New Gloucester,667 Morse Road,New Gloucester,04260,(207) 657-5050,PK,4,Geoffrey Robbins,grobbins@sad15.org
Buxton Center Elementary School,600,Public,Public,RSU 06/MSAD 06,587,York,Buxton,912 Long Plains Road,Buxton,04093,(207) 929-3836,PK,5,Craig Pendleton,cvpendleton@bonnyeagle.org
C K Burns School,412,Public,Public,Saco Public Schools,1662,York,Saco,135 Middle Street,Saco,04072,(207) 284-5081,3,5,APRIL NOBLE,anoble@sacoschools.org
Calais Elementary School,109,Public,Public,Calais Public Schools,108,Washington,Calais,53 Garfield Street,Calais,04619,(207) 454-2000,PK,6,ARLENE CARTER,scarter@calaisschools.org
Calais Middle/High School,111,Public,Public,Calais Public Schools,108,Washington,Calais,34 Blue Devil Hill Suite 2,Calais,04619,(207) 454-2591,7,12,CHRIS JOHNSON,cjohnson@calaisschools.org
Camden Hills Regional H S,1066,Public,Public,Five Town CSD,1065,Knox,Rockport,25 Keelson Drive,Rockport,04856,(207) 236-7800,9,12,Jennifer Curtis,jen.curtis@fivetowns.net
Camden-Rockport Elementary School,706,Public,Public,RSU 28/MSAD 28,703,Knox,Rockport,11 Children's Way,Rockport,04856,(207) 236-7809,PK,4,Christopher Walker-Spencer,chris.walkerspencer@fivetowns.net
Camden-Rockport Middle School,705,Public,Public,RSU 28/MSAD 28,703,Knox,Camden,34 Knowlton Street,Camden,04843,(207) 236-7805,5,8,JAIME STONE,jaime.stone@fivetowns.net
Canaan Elementary School,861,Public,Public,RSU 54/MSAD 54,860,Somerset,Canaan,178 Main Street,Canaan,04924,(207) 474-3901,PK,5,Myla Kreider,mykreider@msad54.org
Cape Cod Hill Elem School,612,Public,Public,RSU 09,1508,Franklin,New Sharon,516 Cape Cod Hill Rd,New Sharon,04955,(207) 778-3031,PK,5,CAROL KIESMAN,ckiesman@mtbluersd.org
Cape Elizabeth High School,116,Public,Public,Cape Elizabeth Public Schools,113,Cumberland,Cape Elizabeth,345 Ocean House Road,Cape Elizabeth,04107,(207) 799-3309,9,12,John Springer,jspringer@capeelizabethschools.org
Cape Elizabeth Middle School,115,Public,Public,Cape Elizabeth Public Schools,113,Cumberland,Cape Elizabeth,14 Scott Dyer Road,Cape Elizabeth,04107,(207) 799-8176,5,8,Sarah Rubin,srubin@capeelizabethschools.org
Capital Area Technical Center,36,Public,Technology Center,Augusta Public Schools,28,Kennebec,Augusta,40 Pierce Drive Suite # 1,Augusta,04330,(207) 626-2475,9,12,MICHAEL TRACY,michael.tracy@augustaschools.org
Captain Albert W. Stevens School,742,Public,Public,RSU 71,1733,Waldo,Belfast,31 Elementary Avenue,Belfast,04915,(207) 338-3510,PK,5,Ashley Reynolds,areynolds@rsu71.org
Caravel Middle School,683,Public,Public,RSU 87/MSAD 23,681,Penobscot,Carmel,520 Irish Road,Carmel,04419,(207) 848-3615,5,8,Nicole Middleswart,nmiddlswart@rsu87.org
Caribou Community School,2085,Public,Public,RSU 39,1468,Aroostook,Caribou,24 Bennett Dr,Caribou,04736,(207) 493-4240,PK,8,LELAND CARON,leland_caron@rsu39.org
Caribou High School,1971,Public,Public,RSU 39,1468,Aroostook,Caribou,308 Sweden St,Caribou,04736,(207) 493-4260,9,12,Jamie Selfridge,jselfridge@rsu39.org
Caribou RegionalTechnology Ctr,123,Public,Technology Center,RSU 39,1468,Aroostook,Caribou,308 Sweden Street Suite 1,Caribou,04736,(207) 493-4270,9,12,JANE WHITE-MCCALL,jmccall@rsu39.org
Carl J Lamb School,425,Public,Public,Sanford Public Schools,416,York,Springvale,233 Shaws Ridge Road,Springvale,04083,(207) 324-8481,PK,4,Sherri Baron,sbaron@sanford.org
Carmel Elementary School,682,Public,Public,RSU 87/MSAD 23,681,Penobscot,Carmel,50 Plymouth Road,Carmel,04419,(207) 848-3383,PK,4,Meghan Schall,mschall@rsu87.org
Carrabec Community School,983,Public,Public,RSU 74/MSAD 74,976,Somerset,North Anson,PO Box 187,North Anson,04958,(207) 635-2209,KG,8,Tara Morin,tmorin@carrabec.org
Carrabec High School,979,Public,Public,RSU 74/MSAD 74,976,Somerset,North Anson,PO Box 220,North Anson,04958,(207) 635-2296,9,12,PETER CAMPBELL,pcampbell@carrabec.org
Carrie Ricker School,1448,Public,Public,RSU 04,1446,Kennebec,Litchfield,573 Richmond Road,Litchfield,04350,(207) 268-4136,3,4,DUSTIN MILES,dustin.miles@rsu4.org
Cascade Brook School,610,Public,Public,RSU 09,1508,Franklin,Farmington,162 Learning Ln,Farmington,04938,(207) 778-4821,3,5,NICHOLE GOODSPEED,ngoodspeed@mtbluersd.org
Casco Bay High School,384,Public,Public,Portland Public Schools,364,Cumberland,Portland,196 Allen Avenue,Portland,04103,(207) 874-8160,9,12,DEREK PIERCE,PIERCD@portlandschools.org
Cave Hill Sch,2136,Public,Public,RSU 24,1462,Hancock,Eastbrook,1205 Eastbrook Road,Eastbrook,04634,(207) 565-3638,PK,5,Brenda Jordan,bjordan@rsu24.org
Center Drive School,344,Public,Public,Orrington Public Schools,342,Penobscot,Orrington,17 School Street,Orrington,04474,(207) 825-3697,PK,8,Judith Marvin,j.marvin@cdsedu.org
Central Aroostook Jr-Sr H S,782,Public,Public,RSU 42/MSAD 42,780,Aroostook,Mars Hill,PO Box 310,Mars Hill,04758,(207) 425-2811,7,12,Kay York,kyork@sad42.us
Central Community Elementary School,1763,Public,Public,RSU 64/MSAD 64,936,Penobscot,Corinth,PO Box 7,Corinth,04427,(207) 285-0325,PK,5,CARRIE CARR,ccarr@rsu64schools.org
Central High School,939,Public,Public,RSU 64/MSAD 64,936,Penobscot,Corinth,PO Box 370,Corinth,04427,(207) 285-3326,9,12,George Mayfield,rmayfield@rsu64schools.org
Central Middle School,940,Public,Public,RSU 64/MSAD 64,936,Penobscot,Corinth,PO Box 19,Corinth,04427,(207) 285-3177,6,8,SANDRA COOKSON,scookson@rsu64schools.org
Central School,746,Public,Public,RSU 35/MSAD 35,743,York,South Berwick,197 Main Street,South Berwick,03908,(207) 384-2333,PK,3,Nina D'Aran,nina.daran@rsu35.org
Charlotte Elementary School,131,Public,Public,Charlotte Public Schools,130,Washington,Charlotte,1006 Ayers Junction Road,Charlotte,04666,(207) 454-2668,PK,8,Charissa Myers,cmyers@charlotteschool.net
Chebeague Island School,842,Public,Public,Chebeague Island Public Schools,1433,Cumberland,Chebeague Island,14 School House Road,Chebeague Island,04017,(207) 846-4162,PK,5,Ann Kirkpatrick,kirkpatrick@chebeagueschool.net
Chelsea Elementary School,133,Public,Public,RSU 12,1451,Kennebec,Chelsea,566 Togus Road,Chelsea,04330,(207) 582-2214,PK,8,Allison Hernandez,amyers@svrsu.org
Cherryfield Elementary,755,Public,Public,Cherryfield Public Schools,1628,Washington,Cherryfield,PO Box 58,Cherryfield,04622,(207) 546-7949,PK,8,MELISSA TENNEY,mtenney@cherryfieldschool.org
China Middle School,135,Public,Public,RSU 18,1457,Kennebec,China,773 Lakeview Drive,China,04926,(207) 445-1500,5,8,Lois Bowden,lbowden@rsu18.org
China Primary School,136,Public,Public,RSU 18,1457,Kennebec,China,763 Lakeview Drive,China,04926,(207) 445-1550,PK,4,Robert Moody,rmoody@rsu18.org
Cliff Island School,367,Public,Public,Portland Public Schools,364,Cumberland,Cliff Island,PO Box 8,Cliff Island,04019,(207) 766-2885,KG,5,Ryan Scallon,Scallr@portlandschools.org
Clinton Elementary School,829,Public,Public,RSU 49/MSAD 49,826,Kennebec,Clinton,75 Morrison Ave,Clinton,04927,(207) 426-2181,PK,6,LORI LEE,llee@msad49.org
Coastal Ridge Elementary,546,Public,Public,York Public Schools,542,York,York,1 Coastal Ridge Drive,York,03909,(207) 363-1800,2,4,Michael Harris,mharris@yorkschools.org
Coastal Wash Cty Inst of Tech,280,Public,Technology Center,Machias Public Schools,277,Washington,Machias,1 Bulldog Lane,Machias,04654,(207) 255-3812,10,12,SCOTT PORTER,super@aos96.org
Congin School,501,Public,Public,Westbrook Public Schools,495,Cumberland,Westbrook,410 Bridge Street,Westbrook,04092,(207) 854-0844,PK,4,Marc Bisson,bissonm@westbrookschools.org
Conners-Emerson School,54,Public,Public,Bar Harbor Public Schools,53,Hancock,Bar Harbor,11 Eagle Lake Road,Bar Harbor,04609,(207) 288-3631,KG,8,Heather Webster,hwebster@mdirss.org
Connor Consolidated School,1003,Public,Unorganized Territory,Education in Unorganized Terr,1002,Aroostook,Connor Twp,1581 Van Buren Road,Connor Twp,04736,(207) 496-4521,PK,6,BARBARA PINEAU ROBINSON,barbara.l.pineau@maine.gov
Cony,37,Public,Public,Augusta Public Schools,28,Kennebec,Augusta,60 Pierce Drive,Augusta,04330,(207) 626-2460,9,12,Kimberly Liscomb,kimberly.silsby@augustaschools.org
Cony Middle School,2021,Public,Public,Augusta Public Schools,28,Kennebec,Augusta,60 Pierce Drive,Augusta,04330,(207) 626-2460,7,8,MICHAEL TRACY,michael.tracy@augustaschools.org
Cranberry Isles School,1758,Public,Public,Cranberry Isles Public Schools,139,Hancock,Cranberry Isles,PO Box 159,Cranberry Isles,04625,(207) 244-3765,KG,8,Gloria Delsandro,gloria.delsandro@mdirss.org
Creative Childrens Academy,1829,Public,Charter,Community Regional Charter School,1510,Somerset,Skowhegan,48 South Factory Street,Skowhegan,04976,(207) 474-8740,PK,KG,Susan Muzzy,smuzzy@crcsme.org
Crescent Park School,791,Public,Public,RSU 44/MSAD 44,789,Oxford,Bethel,19 Crescent Lane,Bethel,04217,(207) 824-2839,PK,5,TANYA ARSENAULT,arsenaultt@sad44.org
Crooked River Elementary,2113,Public,Public,RSU 61/MSAD 61,922,Cumberland,Casco,1437 Poland Spring Road,Casco,04015,(207) 647-3048,3,5,STEVE GAGNE,steve.gagne@lakeregionschools.org
Cushing Community School,834,Public,Public,RSU 13,1452,Knox,Cushing,54 Cross Road,Cushing,04563,(207) 354-2312,KG,5,Dawn Jones,djones@rsu13.org
Daniel W Merritt School,754,Public,Public,RSU 37/MSAD 37,753,Washington,Addison,518 Indian River Road,Addison,04606,(207) 483-2229,PK,6,LORNA GREENE,lgreene@msad37.org
Dawn F Barnes Elementary Sch,128,Public,Public,Caswell Public Schools,127,Aroostook,Caswell,1025 Van Buren Rd,Caswell,04750,(207) 325-4611,PK,8,KRYSTINA DAVENPORT,kdavenport@caswellme.org
Day Mountain Regional Middle School,2143,Public,Public,RSU 58/MSAD 58,898,Franklin,Strong,110 N Main Street,Strong,04983,(207) 684-3521,5,8,MARGARET ADAMS,madams@msad58.org
Dayton Consolidated School,146,Public,Public,Dayton Public Schools,1661,York,Dayton,21 Clarks Mills Road,Dayton,04005,(207) 499-2283,PK,5,Kimberly Sampietro,ksampietro@daytonschooldept.org
Dedham School,149,Public,Public,Dedham Public Schools,148,Hancock,Dedham,2065 Main Road,Dedham,04429,(207) 843-6498,PK,8,Jeffrey Paul,jpaul@dedhamschool.net
Deer Isle-Stonington Elementary Sch,1052,Public,Public,Deer Isle-Stonington CSD,1049,Hancock,Deer Isle,249 North Deer Isle Road,Deer Isle,04627,(207) 348-6301,KG,8,Jane O'Connor,joconnor@dises.org
Deer Isle-Stonington High Sch,1051,Public,Public,Deer Isle-Stonington CSD,1049,Hancock,Deer Isle,251 North Deer Isle Road,Deer Isle,04627,(207) 348-2303,9,12,Rebecca Gratz,rgratz@dishs.org
Deering High School,379,Public,Public,Portland Public Schools,364,Cumberland,Portland,370 Stevens Avenue,Portland,04103,(207) 874-8260,9,12,Ryan Scallon,Scallr@portlandschools.org
Dexter Regional High School,799,Public,Public,MSAD 46,798,Penobscot,Dexter,12 Abbott Hill Rd,Dexter,04930,(207) 924-5536,9,12,STEPHEN BELL,sbell@aos94.org
Dike-Newell School,58,Public,Public,RSU 01 - LKRSU,1438,Sagadahoc,Bath,3 Wright Drive,Bath,04530,(207) 443-8285,PK,2,Jennifer McKay,jmckay@rsu1.org
Dimensions Academy,1511,Public,Charter,Community Regional Charter School,1510,Somerset,Cornville,48 South Factory Street,Skowhegan,04976,(207) 474-8503,KG,8,Susan Muzzy,smartin@crcsme.org
Dirigo Elementary School,672,Public,Public,RSU 56,1826,Oxford,Peru,117 Auburn Road,Peru,04290,(207) 562-4207,PK,5,Charles Swan,cswan@rsu56.org
Dirigo High School,670,Public,Public,RSU 56,1826,Oxford,Dixfield,145 Weld Street,Dixfield,04224,(207) 562-4201,9,12,PAMELA DOYEN,pdoyen@rsu56.org
Dora L Small Elementary School,453,Public,Public,South Portland Public Schools,444,Cumberland,South Portland,87 Thompson Street,South Portland,04106,(207) 799-7676,KG,4,Diane Lang,langdi@spsdme.org
Downeast School,48,Public,Public,Bangor Public Schools,42,Penobscot,Bangor,100 Moosehead Blvd,Bangor,04401,(207) 941-6240,PK,3,Sarah Vickers,svickers@bangorschools.net
Dr Levesque Elementary School,727,Public,Public,RSU 33/MSAD 33,726,Aroostook,Saint Agatha,PO Box 109 368 Main St,Saint Agatha,04772,(207) 543-7302,PK,5,CHERYL HALLOWELL,challowell@msad33.org
Dr Lewis S Libby School,297,Public,Public,Milford Public Schools,296,Penobscot,Milford,13 School Street,Milford,04461,(207) 827-2252,PK,8,DAVID WILCOX,dwilcox@milfordsd.org
Dresden Elementary School,153,Public,Public,RSU 02,1445,Lincoln,Dresden,86 Cedar Grove Road,Dresden,04342,(207) 737-2559,PK,5,Gabrielle LaPerriere,glaperriere@kidsrsu.org
Durham Community School,156,Public,Public,RSU 05,1449,Androscoggin,Durham,654 Hallowell Road,Durham,04222,(207) 353-9333,PK,8,William Pidden,piddenw@rsu5.org
Dyer Elementary School,447,Public,Public,South Portland Public Schools,444,Cumberland,South Portland,52 Alfred Street,South Portland,04106,(207) 799-4845,PK,4,BARBARA FLETCHER,fletchba@spsdme.org
Earl C McGraw School,676,Public,Public,RSU 22,1615,Penobscot,Hampden,20 Main Road North,Hampden,04444,(207) 862-3830,KG,2,Matthew Lindemann,mlindemann@rsu22.us
East Auburn Community School,15,Public,Public,Auburn Public Schools,14,Androscoggin,Auburn,15 Andrew Drive,Auburn,04210,(207) 782-4142,PK,6,Cornelia Brown,cbrown@auburnschl.edu
East Belfast School,2096,Public,Public,RSU 71,1733,Waldo,Belfast,14 Swan Lake Avenue,Belfast,04915,(207) 338-4420,PK,2,ELIZABETH WAKEM,rwakem@rsu71.org
East End Community School,385,Public,Public,Portland Public Schools,364,Cumberland,Portland,195 North ST,Portland,04101,(207) 874-8228,PK,5,Boyd Marley,marlebo@portlandschools.org
East Grand School,634,Public,Public,RSU 84/MSAD 14,633,Washington,Danforth,31 Houlton Road,Danforth,04424,(207) 448-2260,PK,12,PATRICIA METTA,pmetta@eastgrandschool.org
East Range II CSD School,1048,Public,Public,East Range CSD,1047,Washington,Topsfield,187 School Street,Topsfield,04490,(207) 796-2665,PK,8,BETHANY KENNEDY,bkennedy@aos90.org
Easton Elementary School,162,Public,Public,Easton Public Schools,160,Aroostook,Easton,33 Bangor Road,Easton,04740,(207) 488-7700,PK,6,Erin Ireland,erin.ireland@eastonschools.org
Easton Junior-Senior High Sch,161,Public,Public,Easton Public Schools,160,Aroostook,Easton,173 Center Road,Easton,04740,(207) 488-7702,7,12,Laura Hunter,laura.hunter@eastonschools.org
Eastport Elementary School,164,Public,Public,Eastport Public Schools,163,Washington,Eastport,100 High Street,Eastport,04631,(207) 853-6252,PK,8,Roberta Clark,bclark@shead.org
Ecology Learning Ctr,2072,Public,Charter,Ecology Learning Center,2071,Waldo,Unity,230 Main Street,Unity,04988,(207) 230-9275,9,12,Kayla Higgins,kayla.higgins@ecologylearningcenter.org
Eddington School,933,Public,Public,RSU 63/MSAD 63,932,Penobscot,Eddington,440 Main Road,Eddington,04428,(207) 843-6010,PK,1,DONALD SPENCER,dspencer@rsu63.org
Edgecomb Eddy School,167,Public,Public,Edgecomb Public Schools,166,Lincoln,Edgecomb,157 Boothbay Road,Edgecomb,04556,(207) 882-5515,PK,6,Thomas Landberg,tlandberg@aos98schools.org
Edmunds Consolidated School,1004,Public,Unorganized Territory,Education in Unorganized Terr,1002,Washington,Edmunds Township,21 Harrison Road,Edmunds Township,04628,(207) 726-4478,PK,8,TRUDY NEWCOMB,tnewcomb@eut4me.org
