Aroostook,Bridgewater,Bradbury Maple,"202 Bootfoot Road, Bridgewater, Maine",bradburymaple@yahoo.com,(207) 551-5227,,,,,,,,,"Maple Syrup, Candy, Cream, Jelly, Suckers Popcorn, Cotton Candy",,"46.419682, -67.880299",,,,,,,,,,,
Aroostook,Caribou,Circle B Farms,"290 East Presque Isle Rd., Caribou, Maine",circlebfarms04@hotmail.com,(207) 498-8238,,,,,"Fresh Carrots,potatoes, Cabbage, frozen squash & Corn on cob","Fresh Apples, Frozen Blueberries",,,yes and Honey,,"46.832664, -67.987922",,,,,,,,,,,
Aroostook,Caribou,Micmac Farms,"1353 Presque Isle Road, Caribou, Maine",jpelkey@micmacfarms.com,(207) 493-1269,,Maine Brook Trout,,,"Swiss Chard, Lettuce, Kale, Cukes, Beets, Beans, Peas, Carrots, Radishes, Summer Squash, & More Produce Varieties as the Season Progresses.","Blueberries, Raspberries, & Plums",,,Passamoquoddy Maple Products,Pumpkin Rolls,"46.778851, -67.990448",,,,,,,,,,,
Aroostook,Easton,The Maple Moose,"28 Bowers Road, Easton, Maine",maplemoosecjk@gmail.com,(207) 768-1062,,,,,,,,,,Maple syrup and confections,"46.647783, -67.823961",,,,,,,,,,,
Aroostook,Fort Kent,Aroostook Beef Company,"96 Market Street, Fort Kent, Maine",aroostookbeef@gmail.com,(207) 316-4733,Beef,,,,,,,,,,"47.251636, -68.580347",,,,,,,,,,,
Aroostook,Fort Kent,Bouchard Family Farm/Bouchard's Country Store,"772 Caribou Rd., Fort Kent, Maine",bouchard@ployes.com,(207) 834-3237,all natural beef and pork,,locally raised eggs,,"lettuce, swiss chard, onions, peas, beans, potatoes, pumpkins",blueberries-strawberries,,"buckwheat flour, ploye mix, oats","syrup, taffy, butter, candy","ploye mix, jams","47.214739, -68.560408",,,,,,,,,,,
Aroostook,Hodgdon,Duff Farms,"525 White Settlement Road, Hodgdon, Maine",duff.farms@yahoo.com,(207) 532-3843,"Beef, pork",,Non certified but fed organic,Organic,,,,,Syrup,,"46.077085, -67.807485",,,,,,,,,,,
Aroostook,Limestone,A4 Farm,"348 Cote Rd., Limestone, Maine",akalbersfamily@gmail.com,(207) 999-9704,Lamb and mutton,,,,,,,,,,"46.890369, -67.873361",,,,,,,,,,,
Aroostook,Linneus,Gallifreyan Farm,"133 Codfish Ridge Rd, Linneus, Maine",info@gallifreyanfarm.com,(207) 358-0306,,,Eggs,,vegetables available beginning may 1,,,,,,"46.031690, -67.933821",,,,,,,,,,,
Aroostook,Linneus,Happy Shepherd Farm,"95 Codfish Ridge Rd, Linneus, Maine",aldenbanniettis@gmail.com,,Lamb,,,,,,,,,,"46.033420, -67.935036",,,,,,,,,,,
Aroostook,Linneus,Scott Farms,"1117 Hodgdon Mills Rd, Linneus, Maine",Larryscott@pwless.net,(207) 694-4362,Beef,,,,,,,,,,"46.038171, -67.950799",,,,,,,,,,,
Aroostook,Linneus,"Sunnyside Family Farm, LLC/Ferme Ensoleillée Familiale, Ltée","406 New Limerick Road, Linneus, Maine",fermeensoleillee.sunnysidefarm@gmail.com,(207) 532-7058,All natural cage-free poultry,,Brown/Free-Range,,,"U-Pick/We-Pick High-Bush blueberries, raspberries, apples, pumpkins, in season.",,,Maple Syrup,,"46.067444, -67.985778",,,,,,,,,,,
Aroostook,New Sweden,O'Meara Family Farm,"272 East Rd, New Sweden, Maine",dairy4you@gmail.com,(207) 896-5494,"Beef, pork, lamb, poultry",,"Eggs, chicken and goose",,Many,"Apples, plums",,,,,"46.942515, -68.083511",,,,,,,,,,,
Aroostook,Perham,Great North Woods Teas & Herbs,"65 Salmon Lake Rd, Perham, Maine",jghummingbirdfarm@gmail.com,(207) 455-4907,,,,,,,,,,Organic traditional and herbal teas,"46.883012, -68.226328",,,,,,,,,,,
Aroostook,Presque Isle,Drake's Hometown Honey,"19 Braden St, Presque Isle, Maine",catdrake@maine.rr.com,(207) 540-5520,,,,,,,,,,,"46.691785, -68.019024",,,,,,,,,,,
Aroostook,St. David,"Freckle Farm, LLC",183 Beaulieu Rd,kerenmorin@gmail.com,(207) 728-9287,,,Chicken,,"green and yellow beans, corn, lettuce, spinach, kale, swiss chard, green peppers, carrots, onions, zucchini, yellow squash, several varieties of pumpkins, peas, and several varieties of tomatoes.","strawberries, watermelon, cantaloupe, melons",,,,,"47.31812, -68.23508",,,,,,,,,,,
Aroostook,Smyrna,Marley Mountain Poultry,"192 Timoney Lake Rd, Smyrna, Maine",Josephbmarley@gmail.com,(207) 267-5092,Poultry,,,,,,,,,,"46.135286, -68.082038",,,,,,,,,,,
Aroostook,Smyrna Mills,Spring Break Maple & Honey,"3315 US Rt 2, Smyrna Mills, Maine",kristi@mainemapleandhoney.com,(207) 757-7373,,,,,,,,,,Confections/Maple syrup/Honey,"46.131148, -68.153499",,,,,,,,,,,
Aroostook,Woodland,Chops Ahoy Farm,"337 Brown Rd, Woodland, Maine",hoctrainer@aol.com,(207) 615-4144,Pork-all cuts (frozen),,,,,,,,,,"46.894137, -68.074551",,,,,,,,,,,
Aroostook,Woodland,O.L.D. Farm,"352 Thomas Rd, Woodland, Maine",O.L.D.FarmMaine@gmail.com,"Farm: 207-896-3555
Jerry Cell: 207-754-0101","Chicken, Duck, Goat, Rabbit, Turkey",,Chicken & Duck,,Many,Apples & Crabapples,,,,,"46.926110, -68.073360",,,,,,,,,,,
Cumberland,Bridgton,Adventure Awaits Homestead,"433 Sweden Rd, Bridgton, Maine",dafoester@yahoo.com,(508) 857-7907,Pork and Rabbit,,,,,,,,,,"44.081739, -70.768387",,,,,,,,,,,
Cumberland,Bridgton,Shepard Farm,"345 South High St, Bridgton, Maine",acook12@roadrunner.com,(207) 415-7967,,,,,"Corn, Squash, Tomatoes, Cucumbers, etc",local in season,,,,,"44.030837, -70.706768",,,,,,,,,,,
Cumberland,Brunswick,Cookes Maple Farm LLC,"138 Coombs Rd., Brunswick, Maine",cookesmaple@gmail.com,(207) 373-0929,,,,,,,,,,"Maple Syrup, maple cream, maple sugar","43.886221, -69.913956",,,,,,,,,,,
Cumberland,Brunswick,Mere Point Oyster,"1087 Mere Point Rd, Brunswick, Maine",orders@merepointoyster.com,(617) 869-8828,,"Oysters, Steamers, Littlenecks, Scallops, Mussels and Lobster",,,,,,,,,"43.833714, -70.014938",,,,,,,,,,,
Cumberland,Brunswick,Milkweed Farm,"63 Gott Lane, Brunswick, Maine",milkweedfarm@gmail.com,(207) 295-5292,,,,,"Lettuce, spinach, carrots, onions, shallots, tomatoes, culinary and medicinal herbs","Strawberries, raspberries, apples, Elderberry",Flowers,,,Elderberry Syrup and Fire Tonic still available,"43.883318, -69.997577",,,,,,,,,,,
Cumberland,Brunswick,Moody's Seafood,"36 Bath Road, Brunswick, Maine",moodys.takeout@gmail.com,(207) 844-8402,,"Lobster, crab, haddock, salmon, tuna, swordfish, clams, shrimp, scallops",,,,,,,,,"43.908597, -69.949939",,,,,,,,,,,
Cumberland,Brunswick,Senza Scarpe,"508 Durham Rd., Brunswick, Maine",senzascarpe8@gmail.com,(617) 838-2080,Chicken/Duck/Rabbit,,Chicken,,Salad Greens/Micro Greens,,,,,Baked Goods,"43.930509, -70.051378",,,,,,,,,,,
Cumberland,Brunswick,Turtle Rock Farm,"39 Burbank Ave, Brunswick, Maine",turtlerockmaine@gmail.com,(207) 522-6276,Pork,,,Goats milk,"Organic mixed, Organic pickles & pantry goods","Organic apples, canned fruits, preserves",,,,"Organic jams, pickles, sauces, pestos, dressings, all Local ingredients.","43.895880, -69.925608",,,,,,,,,,,
Cumberland,Cape Elizabeth,Alewive's Brook Farm,"83 Old Ocean House Road, Cape Elizabeth, Maine",farmer@alewivesbrookfarm.com,(207) 799-7743,Turkeys at Thanksgiving,"Haddock, Scallops, Lobster",,,"March - April = lettuce, spinach, kale, carrots, potatoes, beets, onions, squash, as the season progresses we will have more, we grow everything from Beans and Broccoli to Zucchini and everything in between.","Currently apples, during summer strawberries, raspberries, and blueberries",,oats and whole wheat flour,,,"43.583761, -70.217803",,,,,,,,,,,
Cumberland,Cape Elizabeth,Jordan's Farm,"21 Wells Road, Cape Elizabeth, Maine",pennyjordan@jordansfarm.com,(207) 671-5341,Grass fed and Pastured,,,,Many varieties - based on Season,In Season,,,Yes,Yes,"43.594678, -70.249766",,,,,,,,,,,
Cumberland,Cape Elizabeth,Little Busters Oysters,"485 Mitchell Rd, Cape Elizabeth, Maine",gfoote@dirigomarine.com,(207) 200-1092,,"Fresh, Live Maine Oysters",,,,,,,,,"43.609887, -70.233168",,,,,,,,,,,
Cumberland,Casco,Hancock Family Farm,"36 Quaker Ridge Road, Casco, Maine",eat@hancockfamilyfarm.com,(207) 615-3039,Beef,,,,"Mixed Vegetables, Corn",,,,,,"43.976939, -70.529006",,,,,,,,,,,
Cumberland,Chebeague Island,Chebeague Island Oysters,"12 Rose Point Road, Chebeague Island, Maine",chebeagueislandoysters@gmail.com,(207) 807-7256,,fresh oysters,,,,,,,,,"43.728536, -70.111433",,,,,,,,,,,
Cumberland,Cumberland,Pine Ridge Acres,"40 Winn Road, Cumberland, Maine",info@pineridgemaine.com,(207) 749-5327,"Beef, Pork, Poultry",,Eggs,"Butter, Milk",Preserves and Pickles,Preserves,,,,Maple Syrup,"43.777094, -70.261589",,,,,,,,,,,
Cumberland,Cumberland,Sunflower Farm Creamery,"12 Harmon Way, Cumberland, Maine",sunflowerfarmcreamery@gmail.com,(207) 829-8347,,,,"Goat dairy products including: chevre, feta, caramels, fudge and yogurt",,,,,,,"43.841004, -70.298784",,,,,,,,,,,
Cumberland,Cumberland,Wormell Farms,"Cumberland, Maine",wormellfarms@gmail.com,(207) 807-0571,Beef,,,,,,,,,,"43.796448, -70.258501",,,,,,,,,,,
Cumberland,Falmouth,Edgewood Nursery,"4 Cruston Way, Falmouth, Maine",edgewoodlandscapes@gmail.com,(207) 653-2065,,,,,,,,,,,"43.789296, -70.331109",,,,,,,,,,,
Cumberland,Falmouth,Hurricane Valley Farm,"459 Gray Rd Falmouth, Maine",info@cultivatingcommunity.org,(207) 761-4769,,,,,,,,,,,"43.66516,-70.255288",,,,,,,,,,,
Cumberland,Falmouth,Powerfarm Herbals,"310 Gray Road, Falmouth, Maine",powerfarm@mail.com,(207) 232-1923,,,,,,,,,,"dried medicinal herbs, teas , salves and tinctures","43.766654, -70.302146",,,,,,,,,,,
Cumberland,Freeport,Alchimia,"5 Royal Ave, Freeport, Maine",info@alchimiamaine.com,(207) 749-8141,,,,,,,,,,"Italian Fresh Pasta, Ravioli, Lasagne, Cookies, Cakes, Jams","43.858590, -70.100445",,,,,,,,,,,
Cumberland,Freeport,Ashby,"51 Durham Rd, Freeport, Maine",Rose277@comcast.net,(207) 615-7696,,Soft shell clams steamers,,,,,,,,,"43.872332, -70.107232",,,,,,,,,,,
Cumberland,Freeport,Bessie's Farm Goods,"Grace Lane (Litchfield Road), Freeport, Maine",bessiesfarmgoods@gmail.com,,,,Eggs,,Seasonal produce May-October,,Fresh bouquets May-October,,Maple Syrup,"Homemade soup, baked goods, bread","43.859811, -70.056831",,,,,,,,,,,
Cumberland,Freeport,Emily’s Oysters,"Freeport, Maine",emily@emilysoysters.com,(207) 891-9870,,Fresh oysters,,,,,,,,,"43.857316, -70.102747",,,,,,,,,,,
Cumberland,Freeport,F/V Profiteer,"South Freeport Harbor, Freeport, Maine",whites2004@gmail.com,(207) 751-1321,,"Lobster, crabs",,,,,,,,,"43.820155, -70.104828",,,,,,,,,,,
Cumberland,Freeport,Laughing Stock Farm,"79 Wardtown Road, Freeport, Maine",ralph@laughingstockfarm.com,(207) 831-2182,"Visit www.laughingstockfarm.com
Home Page for daily updates of product available",,,"Visit www.laughingstockfarm.com
Home Page for daily updates of product available","Visit www.laughingstockfarm.com
Home Page for daily updates of product available",,,,,"Visit www.laughingstockfarm.com
Home Page for daily updates of product available","43.903210, -70.093166",,,,,,,,,,,
Cumberland,Freeport,Love Point Oysters,"(PO Box 281) South Freeport, Maine",cameron@lovepointoysters.com,(207) 604-6166,,Oysters,,,,,,,,,"43.820933, -70.106780",,,,,,,,,,,
Cumberland,Freeport,Winter Hill Farm,"35 Hill Farm Road, Freeport, Maine",winterhillfarmer@gmail.com,(207) 869-5122,"pork, veal",,Organic Eggs,"cow's milk, cow's milk yogurt and cheese",,,,,,,"43.897818, -70.097223",,,,,,,,,,,
Cumberland,Gorham,Findview Farm,"147 Mighty Street, Gorham, Maine",Findviewfarm@juno.com,(207) 318-9166,"pork, lamb, grass-fed beef",,,,onions,,,,,,"43.734175, -70.481926",,,,,,,,,,,
Cumberland,Gorham,Frost Meadow Farm,"67 Spiller Road, Gorham, Maine",littlepenfish@gmail.com,(207) 522-9187,,,,,Seedling Sugar Snap Peas,,,,,,"43.719222, -70.507670",,,,,,,,,,,
Cumberland,Gorham,Hartwell Farms and Sebago Lake Ranch,"443 Sebago Lake Rd, Gorham, Maine","HF: Jojohartwell@gmail.com, SLR: sebagolakeranch@gmail.com","HF: (207) 671-2189, SLR: (207) 892-2586","HF: Grassfed
SLR: 100% grass-fed beef",,,,,,,,HF: Syrup,HF: Maple products,"43.770380, -70.488412",,,,,,,,,,,
Cumberland,Gorham,Merrifield Farm,"195 N Gorham Rd, Gorham, Maine",Merfarm@aol.com,(207) 415-3002,,,,,,,,,"Maple Syrup, Candy and more see facebook",,"43.788841, -70.465879",,,,,,,,,,,
Cumberland,Gorham,Orchard Ridge Farm,"236 Sebago Lake Rd, Gorham, Maine",apples@orchardridge.farm,(207) 239-0442,"grass-fed beef and lamb, chicken, turkey, duck, pork products and rabbit.",,"Fresh eggs (chicken, duck, turkey and goose)","Smiling Hill milk, local cheeses and yogurt, fresh eggs (chicken, duck, turkey and goose),",other farmers' produce,"in season: u-pick blueberries, apples, European and Asian pears, and pre-picked",,,local maple,"wide variety of local maple, honey, preserves, pickles, barbecue sauces, mustards, pasta sauces, salsas etc","43.750034, -70.463201",,,,,,,,,,,
Cumberland,Gray,Caswell Farm,"120 Whitney Rd, Gray, Maine",comeonuptothefarm@gmail.com,,,,,,"Beets, spinach, greens, tomatoes, peas, beans, squash, kale, and so much more!","We do not grow our own, but we do buy in from local farms to sell in our farm stand.",Yes!,,,"We do not make our own (yet), but we do buy in from local farms to sell in our farm stand.","43.840222, -70.310622",,,,,,,,,,,
Cumberland,Gray,D'Ameri Acres - Heath L. Emery,"46 Shaker Road, Gray, Maine",wendyemery@securespeed.net,(207) 657-2260,"Beef, Pork, Lamb",,Chicken and Duck Eggs,,,,,,Maple syrup and Honey,,"43.891562, -70.335683",,,,,,,,,,,
Cumberland,Gray,Jacob Fleece Farm,"49 Legrow Rd, Gray, Maine",astpeter@jacobfleecefarm.com,(207) 657-7577,Lamb,,,,,,,,,,"43.909468, -70.332892",,,,,,,,,,,
Cumberland,Gray,Stillbrook Acres,"309 Mayall Rd, Gray, Maine",Htclydesdale@gmail.com,(207) 838-4407,"Beef, lamb, chicken and veal",,,"Raw A/2 milk, flavored milks, yogurts, spreadable cheese and feta",,,,,,,"43.917792, -70.318985",,,,,,,,,,,
Cumberland,Harpswell,Tom Santaguida -- Fishing Vessel Caroline Elizabeth,"Lookout Point Road, Harpswell, Maine",cascobayfisheries@gmail.com,(207) 208-6571,,"Lobster, Jonah Crab, Rock Crab, Whelks, Moon Snails, Halibut, Mackerel (all based upon seasonal availability)",,,,,,,,,"43.808694, -69.993111",,,,,,,,,,,
Cumberland,Harpswell,Two Coves Farm,"90 Neil’s Point, Harpswell, Maine",jgradytcf@gmail.com,(207) 400-7999,"Beef, pork, lamb, chicken",,Eggs,Raw milk,Garlic,,,,,,"43.809700, -69.968296",,,,,,,,,,,
Cumberland,Harrison,Dadsmaplesugarshack,"1061 Naples Rd, Harrison, Maine",Dadsmaplesugarshack@yahoo.com,(207) 890-8025,,,,,,,,,"Syrup,cream ,candy nuts",,"44.036236, -70.629639",,,,,,,,,,,
Cumberland,Harrison,High View Farm,"48 Leander Harmon Rd, Harrison, Maine",Hvfbelgians@gmail.com,(207) 595-1601,,,,Guernsey Cow Raw Dairy,,,,,Syrup,,"44.096214, -70.654955",,,,,,,,,,,
Cumberland,Harrison,Lucky Paws Farm,"1144 Naples Road, Harrison, Maine",luckypawsfarm2015@gmail.com,(207) 310-1692,,,Brown Eggs,"Goat Cheese, Goat Yogurt, Goat Fudge",,,,,,,"44.072747, -70.650118",,,,,,,,,,,
Cumberland,Harrison,Shady Grove Mushrooms,"59 Country Lane, Harrison, Maine",chuckp3768@gmail.com,(207) 385-7059,,,,,Oyster and shittake mushrooms,,,,,,"44.123333, -70.616388",,,,,,,,,,,
Cumberland,New Gloucester,Flying Goat Farm,"Intervale Rd, New Gloucester, Maine",flyinggoatfarm@gmail.com,,"pork, goat",,,"goats milk products only, chèvre, feta, yogurt, milk. All products pasteurized.",,,,,,,"43.946373, -70.256925",,,,,,,,,,,
Cumberland,New Gloucester,Olivia's Garden,"163 Valley Farm Road, New Gloucester, Maine",oliviasgarden@maine.rr.com,(207) 688-4215 or (207) 409-8416,,,,,"Lettuce, mixed lettuce, cucumbers, tomatoes, peashoots, basil, watercress",,,,,,"43.908258, -70.260504",,,,,,,,,,,
Cumberland,North Yarmouth,Blue Fire Farm,12 Firefly Lane,bluefirefarmme@gmail.com,(207) 650-7637,,,"Chicken, duck, goose",,"Kale, basil, asparagus, tomatoes, lettuce, micro greens, and more","Peaches, raspberries, pears, strawberries, apples","Dahlias, snapdragons, sunflowers, zinnias, mixed boquets",,,,,,,,,,,"Mozilla/5.0 (Linux; Android 12; Pixel 5 Build/SP2A.220305.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.79 Mobile Safari/537.36 Instagram 229.0.0.17.118 Android (32/12; 440dpi; 1080x2160; Google/google; Pixel 5; redfin",130.111.46.127,,,
Cumberland,North Yarmouth,Riverside Farm,"1110 North Road, North Yarmouth, Maine",winslow@riverside.farm,,,,Organic free-range,,"Mixed organic veggies and assorted organic herbs (basil, thyme, parsley, dill, cilantro, lemon balm, lavender, chives, marjoram, fennel, sage, tulsi)",,Assorted strawflowers,,,,"43.846665, -70.214081",,,,,,,,,,,
Cumberland,North Yarmouth,Serendipity Acres,"North Yarmouth, Maine",goodthingshappen_2@yahoo.com,(207) 210-7381,"Certified Organic Pasture Raised Chicken, Turkey and Lamb (cuts, whole, ground) Organically Fed",,Open Range Eggs,,,,,,,,"43.827683, -70.248153",,,,,,,,,,,
Cumberland,Portland,Basket Island Oyster Co.,"72 Commercial St. Bldg #5, PO Box 1, Portland, ME, 04101",info@basketislandoysters.com,,,Oysters (and if available other seafood products provided by our friends and colleagues),,,,,,,,,"43.657258, -70.250068",,,,,,,,,,,
Cumberland,Portland,Black Point Seafood,"48 Union Wharf, Portland, Maine",mark@getmainelobster.com,(207) 402-0171,Lobster and seafood,"Lobster, shrimp, scallops, oysters, etc",,,,,,,,Lobster mac and cheese,"43.653227, -70.252863",,,,,,,,,,,
Cumberland,Portland,calmbound,see website,annie@calmbound.com,,,,,,,,,,,"Baking mixes in chocolate, and cinnamon coffee cake. We make baking mixes that can be prepared by other producers as waffles, pancakes, mugcakes, etc., or sold as is. The mixes are a just-add-water, gluten-free, plant-based, and top-8 allergen free, with infusions from Maine-grown hemp extract. We also sell chocolate edibles.","43.657388, -70.258728",,,,,,,,,,,
Cumberland,Portland,Casco Bay Scallops,"Portland, Maine",cascobayscallops@gmail.com,(207) 200-7857,,Fresh Atlantic sea scallops,,,,,,,,,"43.6664351,-70.2588238",,,,,,,,,,,
Cumberland,Portland,KSV,"60 Edgeworth Ave, Portland, Maine",theowillis06@gmail.com,(207) 210-6016,,,,,Romaine,bell peppers,,,,,"43.671891, -70.302999",,,,,,,,,,,
Cumberland,Portland,Rocky Bottom Tours,"60 Portland Pier, Portland, Maine",rockybottomtours@gmail.com,(207) 671-4344,,Scallops,,,,,,,,,"43.655156, -70.249700",,,,,,,,,,,
